Judul,Harga,Harga per m²,Alamat,Kamar,Luas Tanah,Luas Bangunan,Kepemilikan Tanah,Pertumbuhan IHPR YoY,Suku Bunga KPR Nasional,Ac,Akses 24/7,Akses mobil,Akses wifi,Atm center,Balkon,Bank,Bathtub,Carport,Cctv,Garasi,Gorden,Gym,Internet berkecepatan,Jogging track,Kamar mandi,Kasur,Keamanan 24 jam,Kitchen set,Kolam publik,Kolam renang,Kompor,Kulkas,Lantai,Lemari pakaian,Listrik,Microwave,Minimarket,Musholla,Oven,Perabot,Pompa air,Restoran,Shower,Sumber air,Taman,Tangki air,Telepon,Tempat parkir,Water heater
Dijual Rumah Surabaya Barat di Kupang Indah,Rp8 M,"Rp17,8 Jt/m²","Kel. Dukuh Kupang, Kec. Dukuh Pakis, Kota Surabaya",6 Kamar Tidur,Luas Tanah 450m²,Luas Bangunan 450m²,Sertifikat Hak Milik,1.05%,10.38%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Perabot,0,0,0,PDAM,0,0,0,0,0
Dijual Rumah Surabaya Utara di Bulak Banteng,Rp2 M,Rp10 Jt/m²,"Kel. Bulak Banteng, Kec. Kenjeran, Kota Surabaya",3 Kamar Tidur,Luas Tanah 200m²,Luas Bangunan 200m²,Sertifikat Hak Milik,1.05%,10.38%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Perabot,0,0,0,PDAM,0,0,0,0,0
Dijual Rumah Surabaya Timur di Mojo Klanggru,"Rp4,9 M","Rp12,3 Jt/m²","Kel. Mojo, Kec. Gubeng, Kota Surabaya",4 Kamar Tidur,Luas Tanah 400m²,Luas Bangunan 400m²,Sertifikat Hak Milik,1.05%,10.38%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Perabot,0,0,0,PDAM,0,0,0,0,0
Dijual Rumah Surabaya Barat di Raya Simo Gunung,"Rp2,3 M",Rp10 Jt/m²,"Kel. Putat Jaya, Kec. Sawahan, Kota Surabaya",3 Kamar Tidur,Luas Tanah 231m²,Luas Bangunan 231m²,Sertifikat Hak Milik,1.05%,10.38%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Perabot,0,0,0,PDAM,0,0,0,0,0
Dijual Rumah Surabaya Selatan di Raya Margorejo Indah,Rp17 M,"Rp31,5 Jt/m²","Kel. Margorejo, Kec. Wonocolo, Kota Surabaya",4 Kamar Tidur,Luas Tanah 540m²,Luas Bangunan 414m²,Sertifikat Hak Milik,1.05%,10.38%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Perabot,0,0,0,PDAM,0,0,0,0,0
Dijual Rumah Surabaya Selatan di Margorejo Indah,Rp7 M,"Rp18,7 Jt/m²","Kel. Sidosermo, Kec. Wonocolo, Kota Surabaya",5 Kamar Tidur,Luas Tanah 375m²,Luas Bangunan 233m²,Sertifikat Hak Milik,1.05%,10.38%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Perabot,0,0,0,PDAM,0,0,0,0,0
Dijual Rumah Surabaya Timur di Dharmahusada Indah,"Rp5,5 M","Rp18,3 Jt/m²","Kel. Mojo, Kec. Gubeng, Kota Surabaya",4 Kamar Tidur,Luas Tanah 300m²,Luas Bangunan 300m²,Sertifikat Hak Milik,1.05%,10.38%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Perabot,0,0,0,PDAM,0,0,0,0,0
Dijual Rumah Mulyosari Tengah di Jln.Mulyosari Tengah,"Rp1,1 M","Rp13,1 Jt/m²","Kel. Kalisari, Kec. Mulyorejo, Kota Surabaya",2 Kamar Tidur,Luas Tanah 84m²,Luas Bangunan 64m²,Sertifikat Hak Milik,1.05%,10.38%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Perabot,0,0,0,PDAM,0,0,0,0,0
Dijual Rumah Kutisari Selatan di Jemursari,"Rp1,4 M","Rp9,3 Jt/m²","Kel. Kutisari, Kec. Tenggilis Mejoyo, Kota Surabaya",3 Kamar Tidur,Luas Tanah 150m²,Luas Bangunan 150m²,Sertifikat Hak Milik,1.05%,10.38%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,Perabot,0,0,0,PDAM,0,0,0,0,0
Dijual Rumah Dekat Raya Kedung Cowek Kyai Tambak Deres Setro di Bulak Kali Tinjang,Rp490 Jt,"Rp17,5 Jt/m²","Kel. Bulak, Kec. Bulak, Kota Surabaya",2 Kamar Tidur,Luas Tanah 28m²,Luas Bangunan 56m²,Sertifikat Hak Milik,1.05%,10.38%,1,0,1,0,0,0,0,0,1,0,0,0,0,0,1,2,0,0,0,0,0,0,0,2,0,1300,0,0,0,0,Perabot,0,0,1,PAM,0,1,0,0,0
Dijual Rumah Cocok Buat Kantor Dan Kos di Nol Jalan Dukuh Pakis Surabaya Dekat Pintu Toll,"Rp3,4 M","Rp11,5 Jt/m²","Kel. Dukuh Kupang, Kec. Dukuh Pakis, Kota Surabaya",5 Kamar Tidur,Luas Tanah 300m²,Luas Bangunan 590m²,-,1.05%,10.38%,0,0,2,0,0,0,0,0,2,0,0,0,0,0,0,5,0,0,1,0,0,0,0,3,1,5500,0,0,0,0,Perabot,0,0,1,PAM,0,0,0,0,0
Dijual Rumah Grand Pakuwon Strategis Dekat Pakuwon Citraland di Banjar Sugihan,"Rp1,7 M","Rp28,3 Jt/m²","Kel. Sukomanunggal (Suko Manunggal), Kec. Sukomanunggal, Kota Surabaya",3 Kamar Tidur,Luas Tanah 60m²,Luas Bangunan 79m²,Hak Guna Bangunan,1.05%,10.38%,0,0,3,0,0,0,0,0,1,0,0,0,0,0,0,2,0,0,1,0,0,0,0,2,0,2200,0,0,0,0,Perabot,0,0,1,PAM,0,1,0,0,0
Dijual Rumah Baru Dekat Masjid Agung Sangat Strategis di Gayungsari Barat,"Rp3,2 M","Rp20,8 Jt/m²","Kel. Ketintang, Kec. Gayungan, Kota Surabaya",3 Kamar Tidur,Luas Tanah 154m²,Luas Bangunan 250m²,Sertifikat Hak Milik,1.05%,10.38%,0,0,2,0,0,0,0,0,2,0,0,0,0,0,0,3,0,0,0,0,0,0,0,2,0,5500,0,0,0,0,Perabot,1,0,1,PAM,0,1,0,0,0
Dijual Rumah Murah Siap Huni Dekat Pakuwon Mall di Wiyung,"Rp1,5 M","Rp11,1 Jt/m²","Kel. Babatan, Kec. Wiyung, Kota Surabaya",3 Kamar Tidur,Luas Tanah 135m²,Luas Bangunan 100m²,Sertifikat Hak Milik,1.05%,10.38%,1,0,2,0,0,0,0,0,1,0,0,0,0,0,0,2,0,0,1,0,0,0,0,1,0,2200,0,0,0,0,Perabot,0,0,1,PAM,0,0,0,0,0
Dijual Rumah Murah Di Bawah Pasaran Eastwood di Citraland,"Rp3,9 M","Rp18,6 Jt/m²","Kel. Lontar, Kec. Sambikerep, Kota Surabaya",3 Kamar Tidur,Luas Tanah 210m²,Luas Bangunan 325m²,Sertifikat Hak Milik,1.05%,10.38%,1,0,0,0,1,0,0,0,0,1,0,0,1,0,1,3,1,1,0,1,0,0,0,2,0,0,0,0,0,0,Perabot,0,0,0,PDAM,0,0,0,0,0
Dijual Rumah Sutorejo Baru Gress di Sutorejo,"Rp2,2 M","Rp28,1 Jt/m²","Kel. Dukuh Sutorejo, Kec. Mulyorejo, Kota Surabaya",3 Kamar Tidur,Luas Tanah 80m²,Luas Bangunan 125m²,Sertifikat Hak Milik,1.05%,10.38%,1,0,3,0,0,0,0,0,2,0,0,0,0,0,0,3,0,0,1,0,0,0,0,2,0,0,0,0,0,0,Perabot,0,0,1,PAM,0,0,0,0,1
Dijual Rumah Wr Supratman Surabaya di WR Supratman,"Rp9,2 M","Rp30,2 Jt/m²","Kel. Dr. Soetomo (Dr. Sutomo), Kec. Tegalsari, Kota Surabaya",4 Kamar Tidur,Luas Tanah 306m²,Luas Bangunan 450m²,Sertifikat Hak Milik,1.05%,10.38%,0,0,4,0,0,1,0,0,2,0,0,0,0,0,0,4,0,1,0,0,0,0,0,2,0,0,0,0,0,0,Perabot,0,0,1,PAM,0,0,0,0,0
Dijual Rumah Minimalis Murah Siap Huni di Sememi Rejo,Rp750 Jt,"Rp8,2 Jt/m²","Kel. Sememi, Kec. Benowo, Kota Surabaya",3 Kamar Tidur,Luas Tanah 91m²,Luas Bangunan 180m²,Sertifikat Hak Milik,1.05%,10.38%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,0,0,0,0,2,0,0,0,0,0,0,Perabot,1,0,1,PDAM,0,0,0,0,0
