Judul,Harga,Harga per m²,Kamar,Luas Tanah,Luas Bangunan,Kepemilikan Tanah,Pertumbuhan IHPR YoY,Suku Bunga KPR Nasional,Ac,Akses 24/7,Akses mobil,Akses wifi,Atm center,Balkon,Bank,Bathtub,Carport,Cctv,Garasi,Gorden,Gym,Internet berkecepatan,Jogging track,Kamar mandi,Kasur,Keamanan 24 jam,Kitchen set,Kolam publik,Kolam renang,Kompor,Kulkas,Lantai,Lemari pakaian,Listrik,Microwave,Minimarket,Musholla,Oven,Perabot,Pompa air,Restoran,Shower,Sumber air,Taman,Tangki air,Telepon,Tempat parkir,Water heater,Desa,Kecamatan,Kota,log_harga,log_Harga
Dijual Rumah Di Jl Argopuro Sawahan Surabaya di JL ARGOPURO KEL. SAWAHAN,4500000000.0,8900000.0,25,506,265,Sertifikat Hak Milik,1.05%,10.38%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,0,0,0,0,0,0,0,1,0,0,0,0,0,0,Perabot,0,0,0,PDAM,0,0,0,0,0,Kel. Sawahan, Kec. Sawahan, Kota Surabaya,22.227343233944907,22.227343233944907
Dijual Rumah Luas 2 Lantai Nyaman di Jl Jemursari Timur Surabaya,3300000000.0,16500000.0,4,200,311,Sertifikat Hak Milik,1.05%,10.38%,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,5,0,1,0,0,0,0,0,2,0,0,0,0,0,0,Perabot,1,0,0,PDAM,0,1,0,0,0,Kel. Jemur Wonosari, Kec. Wonocolo, Kota Surabaya,21.917188305721876,21.917188305721876
Dijual Rumah Lokasi Strategis Dekat Kampus di Daerah Wisma Gunung Anyar,1700000000.0,13300000.0,2,128,80,Sertifikat Hak Milik,1.05%,10.38%,0,0,2,0,0,0,0,0,1,0,0,0,1,0,0,2,0,1,0,0,0,0,0,1,1,2200,0,0,0,0,Perabot,0,0,0,PAM,0,0,0,0,0,Kel. Gunung Anyar, Kec. Gunung Anyar (Gununganyar), Kota Surabaya,21.253894088596816,21.253894088596816
Dijual Rumah Siap Huni di Medokan Sawah Timur 7 E,1400000000.0,7000000.0,2,200,350,Sertifikat Hak Milik,1.05%,10.38%,0,0,2,0,0,1,0,0,1,0,0,0,0,0,0,2,0,0,0,0,0,1,0,2,0,6600,0,0,0,0,Perabot,1,0,0,PAM,0,0,0,0,0,Kel. Medokan Ayu, Kec. Rungkut, Kota Surabaya,21.05973807428191,21.05973807428191
Dijual Rumah 1 Lantai Luas Lokasi Nyaman di Jl Penjaringan Asri (PS2A),3700000000.0,11400000.0,5,325,265,Sertifikat Hak Milik,1.05%,10.38%,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,4,0,1,0,0,0,0,0,1,0,0,0,0,0,0,Perabot,1,0,0,PDAM,0,1,0,0,0,Kel. Penjaringansari (Penjaringan Sari), Kec. Rungkut, Kota Surabaya,22.03159865686686,22.03159865686686
Dijual Rumah 1 Lantai Luas Nyaman di Rungkut Mapan Selatan Surabaya,3500000000.0,11000000.0,4,317,165,Sertifikat Hak Milik,1.05%,10.38%,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,3,0,1,0,0,0,0,0,1,0,0,0,0,0,0,Perabot,1,0,0,PDAM,0,1,0,0,0,Kel. Rungkut Tengah, Kec. Gunung Anyar (Gununganyar), Kota Surabaya,21.976028805727495,21.976028805727495
Dijual Rumah Cocok Buat Ruko Dekat Hotel Bali di Jl Makam Peneleh Surabaya,1200000000.0,17100000.0,2,70,120,Sertifikat Hak Milik,1.05%,10.38%,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,2,0,0,0,0,0,0,Perabot,1,0,0,PDAM,0,1,0,0,0,Kel. Peneleh, Kec. Genteng, Kota Surabaya,20.9055873945737,20.9055873945737
Dijual Rumah Siap Huni di Nortwest Park Citraland Utara Surabaya,1600000000.0,21300000.0,3,75,80,Hak Guna Bangunan,1.05%,10.38%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,1,0,0,1,1,2,1,0,0,0,0,0,Perabot,0,0,1,PDAM,0,0,0,0,1,Kel. Pakal, Kec. Pakal, Kota Surabaya,21.193269466817146,21.193269466817146
Dijual Rumah Apartment Citraland Vittorio Soho di JL Raya Menganti Karangan Babatan SBY Jawa Timur,942000000.0,20500000.0,1,46,46,Hak Guna Bangunan,1.05%,10.38%,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,1,0,0,1,0,1,1,0,0,0,0,0,Perabot,0,0,1,PDAM,0,0,0,0,1,Kel. Wiyung, Kec. Wiyung, Kota Surabaya,20.663515833602208,20.663515833602208
"Dijual Rumah Surabaya Pakal Nortwest Park di NORTWEST PARK, Surabaya Pakal, Kota Surabaya",1600000000.0,18100000.0,4,90,110,Sertifikat Hak Milik,1.05%,10.38%,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,3,1,0,1,0,0,1,0,1,1,0,0,0,0,0,Perabot,0,0,1,PDAM,0,0,0,0,1,Kel. Pakal, Kec. Pakal, Kota Surabaya,21.193269466817146,21.193269466817146
